2026-05-08 10:43:56.560 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: OrientadoraL3 | Clientes conectados: 0
2026-05-08 10:43:56.560 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para OrientadoraL3
2026-05-08 10:43:56.682 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para CabezalXTR2: {fecha=08-05-2026 10:43:44, VAB=442.281005859375, VBC=445.1979064941406, PF=0.9035322666168213, PW=37.107765197753906, IA=45.54590606689453, VAC=444.8189697265625, IB=46.73251724243164, IC=42.59628677368164, KWh=271504.71875}
2026-05-08 10:43:56.683 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: CabezalXTR2 | Clientes conectados: 0
2026-05-08 10:43:56.685 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para CabezalXTR2
2026-05-08 10:43:56.756 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Mixer01: {fecha=08-05-2026 10:43:44, VAB=442.250244140625, VBC=444.6340026855469, PF=0.30813461542129517, PW=28.458988189697266, IA=120.0494384765625, VAC=444.2237243652344, IB=116.77452850341797, IC=123.16094970703125, KWh=288303.875}
2026-05-08 10:43:56.756 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Mixer01 | Clientes conectados: 0
2026-05-08 10:43:56.756 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Mixer01
2026-05-08 10:43:56.799 INFO  [core-1] c.e.d.service.KWhDifferenceService - 📢 Publicando datos actualizados para Mixer02: {fecha=08-05-2026 10:43:44, VAB=442.4934387207031, VBC=444.3714599609375, PF=1.0224509239196777, PW=53.22150802612305, IA=72.32457733154297, VAC=444.8537902832031, IB=76.3797378540039, IC=71.38394165039062, KWh=421131.0625}
2026-05-08 10:43:56.800 INFO  [core-1] c.e.d.controller.KWhStreamController - 🔔 Evento de datos recibido para: Mixer02 | Clientes conectados: 0
2026-05-08 10:43:56.800 WARN  [core-1] c.e.d.controller.KWhStreamController - ⚠️ No hay clientes conectados para Mixer02
